,,,,,,,,,,,,,
,BUTTWELD FITTINGS  —  20 PRODUCTS,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1.  SS 304L / 316L 90° & 45° Buttweld Pipe Elbows,,,,,,,,,,,,
,Product ID,bw-ss-elbow,,,,,,,,,,,
,Sub-Category,Stainless Steel Buttweld Fittings,,,,,,,,,,,
,Card Spec Chips,ASME B16.9  |  Seamless & Welded  |  Sch 10S to Sch 160,,,,,,,,,,,
,Image File,/images/products/bw-ss-elbow.jpg,,,,,,,,,,,
,Price Shown (INR/Kg),₹320 INR / Kg,,,,,,,,,,,
,Data Source,PUBLISHED — real spec tables (SS 304/304L/304H Buttweld Fittings),,,,,,,,,,,
,Source Reference,https://www.champaksteel.com/stainless-steel-304-304l-304h-buttweld-fittings-manufacturer-exporter.html,,,,,,,,,,,
,Live Page,https://jyothi-metals.vercel.app/product-detail?id=bw-ss-elbow,,,,,,,,,,,
,,,,,,,,,,,,,
,TAB 1 — EQUIVALENT GRADES:  304/304L/304H Stainless Steel ASTM A403 Buttweld Fittings Equivalent Grades,,,,,,,,,,,,
,STANDARD,UNS,WNR.,AFNOR,EN,JIS,BS,GOST,,,,,
,Dimensions,"ASME/ANSI B16.9, ASME B16.28, MSS-SP-43, BS4504, BS4504, BS1560, BS10 ASME 16.11, MSS SP-79, 83, 95, 97, BS 3799",,,,,,,,,,,
,Size,"Seamless Butt Weld Fittings : 1/2"" - 10"" | Welded Butt Weld Fittings : 1/2"" - 48""",,,,,,,,,,,
,Schedule,"SCH10, SCH20, SCH30, STD SCH40, SCH60, XS, SCH 80, SCH 100, SCH 120, SCH 140, SCH 160, XXS available with NACE MR 01-75",,,,,,,,,,,
,Bending Radius,"R=1D, 2D, 3D, 5D, 6D, 8D, 10D or Custom",,,,,,,,,,,
,Type,Seamless / ERW / Welded / Fabricated,,,,,,,,,,,
,Thickness,"20 Swg., 18 Swg., 16 Swg., 14 Swg., 12 Swg., 10 Swg., & Sch. 10, Sch. 40, Sch. 80 etc.",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,5.  SS 321/321H Buttweld Fittings,,,,,,,,,,,,
,Product ID,stainless-steel-321-321h-buttweld-fittings,,,,,,,,,,,
,Sub-Category,Stainless Steel Buttweld Fittings,,,,,,,,,,,
,Card Spec Chips,ASTM A403  |  UNS S32100  |  W.Nr. 1.4541,,,,,,,,,,,
,Image File,/images/products/stainless-steel-321-321h-buttweld-fittings.jpg,,,,,,,,,,,
,Price Shown (INR/Kg),₹280 INR / Kg,,,,,,,,,,,
,Data Source,PUBLISHED — real spec tables (Stainless Steel 321/321H Buttweld Fittings),,,,,,,,,,,
,Source Reference,https://www.champaksteel.com/stainless-steel-321-321h-buttweld-fittings-manufacturer-exporter.html,,,,,,,,,,,
,Live Page,https://jyothi-metals.vercel.app/product-detail?id=stainless-steel-321-321h-buttweld-fittings,,,,,,,,,,,
,,,,,,,,,,,,,
,TAB 1 — EQUIVALENT GRADES:  321/321H Stainless Steel ASTM A403 Buttweld Fittings Equivalent Grades,,,,,,,,,,,,
,STANDARD,UNS,WNR.,EN,JIS,,,,,,,,
,SS 321,S32100,1.4541,X6CrNiTi18-10,SUS 321,,,,,,,,
,SS 321H,S32109,1.4878,X12CrNiTi18-9,SUS 321H,,,,,,,,
,,,,,,,,,,,,,
,TAB 2 — CHEMICAL COMPOSITION:  Chemical Composition of Stainless Steel 321/321H Seamless and Welded Pipe Fittings,,,,,,,,,,,,
,%,Cr,Ni,C,Si,Mn,P,S,N,Ti,Fe,,
,321,min:17.0 max:19.0,min: 9.0 max:12.0,max:0.08,max:0.75,max:2.0,max:0.045,max:0.03,max:0.10,min:5*(C+N) max:0.70,Balance,,
,321H,min:17.0 max:19.0,min: 9.0 max:12.0,min:0.04 max:0.10,max:0.75,max:2.0,max:0.045,max:0.03,max:0.10,min:5*(C+N) max:0.70,Balance,,
,,,,,,,,,,,,,
,TAB 3 — MECHANICAL PROPERTIES:  Mechanical Properties Of ASME SA403 SS WP321 / 321H Buttweld Pipe Fittings,,,,,,,,,,,,
,Grade,Tensile Strength ksi (min.),Yield Strength 0.2% Offset ksi (min.),Elongation - % in 50 mm (min.),Hardness (Brinell) MAX,,,,,,,,
,321/321H,75,30,40,217,,,,,,,,
,,,,,,,,,,,,,
,TAB 4 — PHYSICAL PROPERTIES:  Physical Properties of ASTM A403 Stainless Steel 321 / 321H Pipe Fittings,,,,,,,,,,,,
